,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
28,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910,https://en.wikipedia.org/wiki/Ameren_Corp
29,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",6201,https://en.wikipedia.org/wiki/American_Airlines_Group
30,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904,https://en.wikipedia.org/wiki/American_Electric_Power
31,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",4962,https://en.wikipedia.org/wiki/American_Express_Co
32,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",5272,https://en.wikipedia.org/wiki/American_International_Group
33,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",1053507,https://en.wikipedia.org/wiki/American_Tower_Corp.
34,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",1410636,https://en.wikipedia.org/wiki/American_Water_Works
35,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027,https://en.wikipedia.org/wiki/Ameriprise_Financial
36,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1140859,https://en.wikipedia.org/wiki/AmerisourceBergen_Corp
37,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868,https://en.wikipedia.org/wiki/AMETEK_Inc.
38,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",318154,https://en.wikipedia.org/wiki/Amgen_Inc.
39,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",820313,https://en.wikipedia.org/wiki/Amphenol_Corp
40,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",6281,"https://en.wikipedia.org/wiki/Analog_Devices,_Inc."
41,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1013462,https://en.wikipedia.org/wiki/ANSYS
42,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039,https://en.wikipedia.org/wiki/Anthem_(company)
43,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",315293,https://en.wikipedia.org/wiki/Aon_plc
44,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",91142,https://en.wikipedia.org/wiki/A.O._Smith_Corp
45,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769,https://en.wikipedia.org/wiki/Apache_Corporation
46,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",922864,https://en.wikipedia.org/wiki/Apartment_Investment_%26_Management
47,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193,https://en.wikipedia.org/wiki/Apple_Inc.
48,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951,https://en.wikipedia.org/wiki/Applied_Materials_Inc.
49,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1521332,https://en.wikipedia.org/wiki/Aptiv_PLC
50,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7084,https://en.wikipedia.org/wiki/Archer-Daniels-Midland_Co
51,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",1596532,https://en.wikipedia.org/wiki/Arista_Networks
52,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",354190,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
53,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",1267238,https://en.wikipedia.org/wiki/Assurant
54,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717,https://en.wikipedia.org/wiki/AT%26T_Inc.
55,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",731802,https://en.wikipedia.org/wiki/Atmos_Energy
56,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",769397,https://en.wikipedia.org/wiki/Autodesk_Inc.
57,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",8670,https://en.wikipedia.org/wiki/Automatic_Data_Processing
58,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787,https://en.wikipedia.org/wiki/AutoZone_Inc
59,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",915912,https://en.wikipedia.org/wiki/AvalonBay_Communities
60,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",8818,https://en.wikipedia.org/wiki/Avery_Dennison_Corp
61,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605,https://en.wikipedia.org/wiki/Baker_Hughes
62,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389,https://en.wikipedia.org/wiki/Ball_Corp
63,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",70858,https://en.wikipedia.org/wiki/Bank_of_America_Corp
64,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",1390777,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon
65,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",10456,https://en.wikipedia.org/wiki/Baxter_International_Inc.
66,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795,https://en.wikipedia.org/wiki/Becton_Dickinson
67,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983,https://en.wikipedia.org/wiki/Berkshire_Hathaway
68,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478,https://en.wikipedia.org/wiki/Best_Buy_Co._Inc.
69,BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",875045,https://en.wikipedia.org/wiki/Biogen_Inc.
70,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",1364742,https://en.wikipedia.org/wiki/BlackRock
71,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",12927,https://en.wikipedia.org/wiki/Boeing_Company
72,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",1075531,https://en.wikipedia.org/wiki/Booking_Holdings_Inc
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",908255,https://en.wikipedia.org/wiki/BorgWarner
74,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",1037540,https://en.wikipedia.org/wiki/Boston_Properties
75,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",885725,https://en.wikipedia.org/wiki/Boston_Scientific
76,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",14272,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",1730168,https://en.wikipedia.org/wiki/Broadcom_Inc.
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1383312,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions
79,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693,https://en.wikipedia.org/wiki/Brown-Forman_Corp.
80,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277,https://en.wikipedia.org/wiki/C._H._Robinson_Worldwide
81,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
